,mols_bitswet,T_F,bitswet_smiles,id,cid
0,<rdkit.Chem.rdchem.Mol object at 0x0000015A738F6C60>,False,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CC[NH+]3C[C@@H]4C=C)O,b_9,11920271.0
1,<rdkit.Chem.rdchem.Mol object at 0x0000015A738F6D00>,False,CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,b_11,160467.0
2,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D8022B0>,False,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,b_14,23424040.0
3,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D8024E0>,False,C1=CC=C(C=C1)C=O,b_15,240.0
4,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D803BC0>,False,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,b_32,68051.0
5,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D803C10>,False,C/C=C/C1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C,b_33,6850740.0
6,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D803580>,False,CC(C)CC(=O)C1=C(C(=C([C@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,b_36,72625.0
7,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D803B70>,False,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,b_37,8400.0
8,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D803B20>,False,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,b_38,8549.0
9,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D803D50>,False,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl.Cl,b_39,91429.0
10,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D2B9990>,False,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl,b_40,91558.0
11,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D0A3E90>,False,C[C@H]1[C@@H]2CC[C@]([C@@H]3[C@H]4[C@H]5C=C([C@@]6([C@H]4C(=C3[C@H]2OC1=O)C)[C@@H]5[C@@](CC[C@@H]7[C@@H]6OC(=O)[C@H]7C)(C)O)C)(C)O,b_41,442138.0
12,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D0A31C0>,False,CC1C2CCC3(C4(O3)CC=C(C4C2OC1=O)C)C,b_42,566062.0
13,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D0A3170>,False,CC1=CC[C@@]23[C@@H]1[C@@H]4[C@@H](CC[C@@]2(O3)C)C(=C)C(=O)O4,b_43,636760.0
14,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D0A3AD0>,False,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,b_44,2236.0
15,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A54E0>,False,C/C/1=C[C@@H]2[C@@H](CCC(=C)[C@@H](CC1)O)C(=C)C(=O)O2,b_45,5281428.0
16,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A5530>,False,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,b_46,2519.0
17,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A5AD0>,False,C[C@@H]1[C@@H](C[C@@]2([C@@H]([C@]1(C[C@H](C3=COC=C3)O)C=O)CC[C@H]([C@]2(C)O)O)C)OC(=O)C,b_48,442011.0
18,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A56C0>,False,C1=CC=C2C(=C1)C=CC(=O)O2,b_49,323.0
19,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A52B0>,False,CC(=O)OC(C)(C)/C=C/C(=O)[C@@](C)(C1[C@@H](C[C@@]2([C@@]1(CC(=O)[C@@]3([C@H]2CC=C4[C@H]3C[C@@H](C(=O)C4(C)C)O)C)C)C)O)O,b_50,6433476.0
20,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A5300>,False,CCCCCCC/C=C[C@@H](C#CC#C[C@H](C=C)O)O,b_51,6436239.0
21,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A5440>,False,CN1CCC2=CC3=C(C(=C2[C@@H]1[C@@H]4C5=C(C(=C(C=C5)OC)OC)C(=O)O4)OC)OCO3,b_52,275196.0
22,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A5490>,False,COC1=C(C=C(C=C1)CC2=NC=CC3=CC(=C(C=C32)OC)OC)OC,b_53,4680.0
23,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6799E0>,False,C/C/1=CCC[C@@]2([C@@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C,b_54,6473881.0
24,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3DF0>,False,C[C@@H]1C=C(C(=O)[C@]2([C@H]1C[C@@H]3[C@@]4([C@@H]2C(=O)C(=C([C@@H]4CC(=O)O3)C)OC)C)C)OC,b_55,65571.0
25,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3300>,False,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],b_56,2265.0
26,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A38A0>,False,C1=CC=C(C=C1)C(=O)N,b_57,2331.0
27,<rdkit.Chem.rdchem.Mol object at 0x0000015B2D6A3CB0>,False,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)N)N)N)/N)Cl,b_59,9552079.0
