order,id,name,SMILES,cid
1,b_9,Quinine,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@H]4CC[NH+]3C[C@@H]4C=C)O,11920271
2,b_11,Humulon,CC(C)CC(=O)C1=C(C(C(=O)C(C1=O)CC=C(C)C)(CC=C(C)C)O)O,160467
3,b_14,Quinidine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O.OS(=O)(=O)O,23424040
4,b_15,Benzaldehyde,C1=CC=C(C=C1)C=O,240
5,b_32,"Lupulon, Lupulone",CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,68051
6,b_33,Fennel oil,C/C=C/C1=CC=C(C=C1)OC.CC1(C2CCC(C2)(C1=O)C)C.COC1=CC=C(C=C1)CC=C,6850740
7,b_36,"Humulon, Humulone",CC(C)CC(=O)C1=C(C(=C([C@](C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,72625
8,b_37,Benzoin,C1=CC=C(C=C1)C(C(=O)C2=CC=CC=C2)O,8400
9,b_38,Quinine,COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3CC4CCN3C[C@@H]4C=C)O,8549
10,b_39,"Quinine , Quinine bimuriate, Quinine dihydrochloride",COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl.Cl,91429
11,b_40,"Quinine , Quinine hydrochloride",COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O.Cl,91558
12,b_41,Absinthin,C[C@H]1[C@@H]2CC[C@]([C@@H]3[C@H]4[C@H]5C=C([C@@]6([C@H]4C(=C3[C@H]2OC1=O)C)[C@@H]5[C@@](CC[C@@H]7[C@@H]6OC(=O)[C@H]7C)(C)O)C)(C)O,442138
