,mols_bitter,T_F,bitter_smiles,bitter,Reference
0,<rdkit.Chem.rdchem.Mol object at 0x00000201B1CCBC10>,False,C#N,True,BitterDB
1,<rdkit.Chem.rdchem.Mol object at 0x00000201B1CCBBC0>,False,OO,True,BitterDB
2,<rdkit.Chem.rdchem.Mol object at 0x00000201B1CCBD50>,False,NC(=O)N,True,Wiener et al. (2017) - Bitter-New
3,<rdkit.Chem.rdchem.Mol object at 0x00000201B1CCBA80>,False,CC(C)O,True,BitterDB
4,<rdkit.Chem.rdchem.Mol object at 0x00000201E3B5B350>,False,O=S=O,True,BitterDB
5,<rdkit.Chem.rdchem.Mol object at 0x00000201E9233350>,False,c1ccc[nH]1,True,Rojas et al. (2017)
6,<rdkit.Chem.rdchem.Mol object at 0x00000201DD93B990>,False,c1ncc[nH]1,True,Rojas et al. (2017)
7,<rdkit.Chem.rdchem.Mol object at 0x00000201E3D7AB70>,False,c1ccn[nH]1,True,Rojas et al. (2017)
8,<rdkit.Chem.rdchem.Mol object at 0x00000201E3D7A7B0>,False,C1CCCN1,True,Rojas et al. (2017)
9,<rdkit.Chem.rdchem.Mol object at 0x00000201E3D7A6C0>,False,[OH-].[OH-].[Ca+2],True,The Good Scents Company Database
10,<rdkit.Chem.rdchem.Mol object at 0x00000201BFAEDD00>,False,[Cl-].[K+],True,BitterDB
11,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76490>,False,CS(=O)C,True,BitterDB
12,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76580>,False,c1cccnc1,True,Rojas et al. (2017)
13,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76530>,False,[Na+].[S-][11C]#N,True,BitterDB
14,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE765D0>,False,c1ccnnc1,True,Rojas et al. (2017)
15,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76440>,False,n1ccncc1,True,Rojas et al. (2017)
16,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE764E0>,False,c1ccncn1,True,Rojas et al. (2017)
17,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE767B0>,False,C1CCCNC1,True,Rojas et al. (2017)
18,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76670>,False,N1CCNCC1,True,Rojas et al. (2017)
19,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76620>,False,[Li+].[Br-],True,BitterDB
20,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE766C0>,False,[O-]C(=O)[C@H](C)O,True,Wiener et al. (2017) - Bitter-New
21,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76C10>,False,C([C@H](N)C)(=O)O,True,Rodgers et al. (2006)
22,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76C60>,False,CN(C)C=S,True,BitterDB
23,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76CB0>,False,CC(O)CCO,True,BitterDB
24,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76D00>,False,CNC(=S)N,True,BitterDB
25,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76D50>,False,Cc1ccccn1,True,BitterDB
26,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76DA0>,False,N#CCCCC#N,True,BitterDB
27,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76DF0>,False,CC1=CC=CS1,True,The Good Scents Company Database
28,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76E40>,False,C=CCN=C=S,True,BitterDB
29,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76E90>,False,S=C1NCCN1,True,BitterDB
30,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76EE0>,False,C=CS(=O)C=C,True,BitterDB
31,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76F30>,False,[Na+].[Br-],True,BitterDB
32,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE76F80>,False,OCCCCCO,True,BitterDB
33,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67030>,False,CCNC(=S)N,True,BitterDB
34,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67080>,False,C1=CC(=CN=C1)C=O,True,The Good Scents Company Database
35,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE670D0>,False,CCc1cnccn1,True,BitterDB
36,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67120>,False,C1=CC(=CN=C1)CO,True,The Good Scents Company Database
37,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67170>,False,Cc1ccc(F)cc1,True,BitterDB
38,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE671C0>,False,O=C1CCCCCN1,True,BitterDB
39,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67210>,False,CC1CCCC(C)N1,True,BitterDB
40,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67260>,False,C=COCCOC=C,True,Rojas et al. (2017)
41,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE672B0>,False,C[C@H]1C(=[NH+][C@H](O1)C)C,True,Fenaroli’s Handbook of Flavor Ingredient
42,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67300>,False,CN1C=CNC1=S,True,BitterDB
43,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67350>,False,C[C@H]1C(=[NH+][C@@H](O1)C)C,True,The Good Scents Company Database
44,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE673A0>,False,NC(=S)NCC=C,True,BitterDB
45,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE673F0>,False,CCCCC(CC)O,True,Fenaroli’s Handbook of Flavor Ingredient
46,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67440>,False,CCCCCC(C)O,True,Fenaroli’s Handbook of Flavor Ingredient
47,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67490>,False,c1ccc2c(c1)[nH]cn2,True,Rojas et al. (2017)
48,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE674E0>,False,CC(=O)NC(=S)N,True,BitterDB
49,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67530>,False,CCCCCCS,True,Fenaroli’s Handbook of Flavor Ingredient
50,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67580>,False,CC1=CC=CC(=N1)C=C,True,The Good Scents Company Database
51,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE675D0>,False,[O-]S(=O)(=O)[O-].[Mg+2],True,The Good Scents Company Database
52,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67620>,False,NC(=O)c1ccccc1,True,BitterDB
53,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67670>,False,CC(=O)c1cnccn1,True,BitterDB
54,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE676C0>,False,CC1=CC=C(N1)C(=O)C,True,The Good Scents Company Database
55,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67710>,False,CC1=NC(=CC=C1)CO,True,The Good Scents Company Database
56,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67760>,False,COc1ccc(O)cc1,True,BitterDB
57,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE677B0>,False,C1=CC(=CC=C1CO)O,True,The Good Scents Company Database
58,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67800>,False,C(CS(=O)(=O)O)N,True,Fenaroli’s Handbook of Flavor Ingredient
59,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67850>,False,O=C1CCCCCCC1,True,BitterDB
60,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE678A0>,False,ON=CC1CCCCC1,True,Rojas et al. (2017)
61,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE678F0>,False,CC(=CCN=C(N)N)C,True,BitterDB
62,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67940>,False,O=C1NC(=S)NC=C1,True,BitterDB
63,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67990>,False,CCCCCCC(=O)C,True,BitterDB
64,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE679E0>,False,C=CC1CNC(=S)O1,True,BitterDB
65,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67A30>,False,CC(C)CNCC(C)C,True,BitterDB
66,<rdkit.Chem.rdchem.Mol object at 0x00000201DCE67A80>,False,c1ccc2ncncc2c1,True,BitterDB
